web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641931944-1505","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","SFR FIBRE SAS (HEROUVILLE CITEVISION)","https://fr.kompass.com/c/sfr-fibre-sas/fr5566431/","SFR FIBRE SAS
                                    HEROUVILLE CITEVISION","3 SQ DU THEATRE 

	                LA CITADELLE DOUCE","3 SQ DU THEATRE 

	                LA CITADELLE DOUCE 

	                
	        14200 HEROUVILLE-SAINT-CLAIR","https://www.sfr.fr/offres-numericable.html","2005","SAS, société par actions simplifiée","De 0 à 9 employés","L'établissement SFR FIBRE est spécialisé dans le développement de solution de connexion internet, de téléphonie fixe et mobile grâce à une infrastructure fibre optique de très haut débit sur trois segments : grand public (B2C), entreprises (B2B) et le segment de gros (« Wholesale »).","Télécommunications par satellite (6130Z)
				Voir la classification Kompass"
"1641931935-1502","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","MAVENIR FRANCE SA","https://fr.kompass.com/c/mavenir-france-sa/fr8459939/","MAVENIR FRANCE SA","8 RUE COMMODORE J H HALLET 

	                LA FOLIE COUVRECHEF","8 RUE COMMODORE J H HALLET 

	                LA FOLIE COUVRECHEF 

	                
	        14000 CAEN","http://www.comverse.com","2006","SA à conseil d'administration (s.a.i.)","De 20 à 49 employés","MAVENIR FRANCE SA est une entreprise située à PARIS 8. L'établissement est spécialisé dans l'édition et le développement de logiciel pour la communication . La société propose des solutions VoLTE, VoWiFi, Advanced Messaging, Multi-ID, vEPC et Cloud RAN.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931938-1503","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","SOCULTUR (CULTURA)","https://fr.kompass.com/c/socultur/fr2433467/","SOCULTUR
                                    CULTURA","RUE JOSEPH JACQUARD","RUE JOSEPH JACQUARD 

	                
	        14120 MONDEVILLE","http://www.cultura.com","2013","SAS, société par actions simplifiée","De 50 à 99 employés","Etablissement spécialisé dans le domaine de la gestion des magasins de commerce de détails de livres, e-books, musique, des instruments de musique, DVD et blu-ray, jeux vidéo et consoles, High-Tech, loisirs créatifs, beaux arts, papeterie, jouets et activités, coffrets cadeaux et cadeaux, billetterie et services...","Commerce de détail de livres en magasin spécialisé (4761Z)
				Voir la classification Kompass"
"1641931929-1500","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","SOFTWAY MEDICAL DEVELOPPEMENT, R2I D*","https://fr.kompass.com/c/softway-medical-developpement/fra0060ic/","SOFTWAY MEDICAL DEVELOPPEMENT","8 RUE DU BLANC","8 RUE DU BLANC 

	                
	        14000 CAEN","http://www.softwaymedical.fr","1992","SA à conseil d'administration (s.a.i.)","De 0 à 9 employés","Société en activité  depuis 26 ans, spécialisée dans le domaine de l'édition et le développement de logiciel informatique pour le secteur médical. La société propose également des logiciels aux établissements de santé, groupement hospitalier et territoire, centres d'imagerie,...","Edition de logiciels applicatifs (5829C)
				Voir la classification Kompass"
"1641931941-1504","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","SOC ORGANI FOIRES ET SALON PAYS D'AUGE","https://fr.kompass.com/c/soc-organi-foires-et-salon-pays-d-auge/fr2883614/","SOC ORGANI FOIRES ET SALON PAYS D'AUGE","RUE EDOUARD BRANLY 

	                PARC DES EXPOSITIONS","RUE EDOUARD BRANLY 

	                PARC DES EXPOSITIONS 

	                
	        14100 LISIEUX","null","1998","Association déclarée","De 0 à 9 employés","L'Association SOC ORGANI FOIRES ET SALON PAYS D'AUGE est installée à Lisieux (RUE EDOUARD BRANLY) dans le département du Calvados.



Cette association loi 1901 ou assimilé fondée en 1998 ayant comme SIRET le numéro 780745188 00034, recensée sous le naf : 

► Traitement de données, hébergement et activités connexes.



Cette association est dirigée par Jean BASTIDES (Président)","Traitement de données, hébergement et activités connexes (6311Z)
				Voir la classification Kompass"
"1641931920-1497","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","ORANGE (CENTRAL TELEPHONIQUE)","https://fr.kompass.com/c/orange/fr9182919/","ORANGE
                                    CENTRAL TELEPHONIQUE","38 RUE DES FRERES BOUTROIS","38 RUE DES FRERES BOUTROIS 

	                
	        14000 CAEN","http://www.orange.com","1992","SA à conseil d'administration (s.a.i.)","De 0 à 9 employés","Société en activité depuis 29 ans, spécialisée dans le domaine de la télécommunication à l'échelle mondiale avec une offre de gamme de services de télécommunication : téléphonie locale et internationale, téléphonie mobile, Internet et multimédia, transport de données, broadcast et télévision par câble. Opérateur mobile et fournisseur d'accès Internet. L'effectif du groupe est de 170 000 employés.","Télécommunications filaires (6110Z)
				Voir la classification Kompass"
"1641931917-1496","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","ORANGE (UNITE REGIONALE DE RESEAU NORMANDIE)","https://fr.kompass.com/c/orange/fr9182906/","ORANGE
                                    UNITE REGIONALE DE RESEAU NORMANDIE","2 RUE GEORGES LEBRET","2 RUE GEORGES LEBRET 

	                
	        14000 CAEN","http://www.orange.com","1990","SA à conseil d'administration (s.a.i.)","De 100 à 249 employés","Société en activité depuis 29 ans, spécialisée dans le domaine de la télécommunication à l'échelle mondiale avec une offre de gamme de services de télécommunication : téléphonie locale et internationale, téléphonie mobile, Internet et multimédia, transport de données, broadcast et télévision par câble. Opérateur mobile et fournisseur d'accès Internet. L'effectif du groupe est de 170 000 employés.","Télécommunications filaires (6110Z)
				Voir la classification Kompass"
"1641931932-1501","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","MIXSYSTEMS, MIXSYSTEMS","https://fr.kompass.com/c/mixsystems/fra025d4z/","MIXSYSTEMS","149 RUE DE LA DELIVRANDE","149 RUE DE LA DELIVRANDE 

	                
	        14000 CAEN","null","2018","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","La société MIXSYSTEMS(MIXSYSTEMS), est implantée au 149 RUE DE LA DELIVRANDE à Caen (14000) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2018 sous le numéro 815221205 00033, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société MIXSYSTEMS est dirigée par Pierre-Yves Sichel (Gérant)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931926-1499","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","TGS FRANCE INFORMATIQUE (TGS FRANCE)","https://fr.kompass.com/c/tgs-france-informatique/fra01paha/","TGS FRANCE INFORMATIQUE
                                    TGS FRANCE","16 RUE DU LONG DOUET","16 RUE DU LONG DOUET 

	                
	        14760 BRETTEVILLE-SUR-ODON","http://www.adventi-informatique.fr","2016","SAS, société par actions simplifiée","De 0 à 9 employés","Etablissement spécialisé dans la prestation de services informatiques comme architecture, assistante, web et infogérance. L'entreprise propose également la conception et l'édition de logiciels de gestion pour la gestion commerciale, de paie, pour la comptabilité, le GED,...","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931923-1498","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-13/","NORMANDIGITAL, NORMANDIGITAL (NORMANDIGITAL RESEAU NORMAND DES PROFESSIONNELS DU NUMERIQUE)","https://fr.kompass.com/c/normandigital/fra01kbc0/","NORMANDIGITAL
                                    NORMANDIGITAL RESEAU NORMAND DES PROFESSIONNELS DU NUMERIQUE","1 RUE RENE CASSIN","1 RUE RENE CASSIN 

	                
	        14000 CAEN","null","2015","Association déclarée","De 0 à 9 employés","L'Association NORMANDIGITAL(NORMANDIGITAL) est installée au 1 RUE RENE CASSIN à Caen (14000) dans le département du Calvados.



Cette association loi 1901 ou assimilé fondée en 2015 sous l'enregistrement 814972584 00027, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
