web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641931680-1439","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","ORANGE (CENTRE PRINCIPAL D'EXPLOITATION)","https://fr.kompass.com/c/orange/fr5532292/","ORANGE
                                    CENTRE PRINCIPAL D'EXPLOITATION","BD DES BELGES","BD DES BELGES 

	                
	        14390 CABOURG","http://www.orange.com","1990","SA à conseil d'administration (s.a.i.)","De 0 à 9 employés","Société en activité depuis 29 ans, spécialisée dans le domaine de la télécommunication à l'échelle mondiale avec une offre de gamme de services de télécommunication : téléphonie locale et internationale, téléphonie mobile, Internet et multimédia, transport de données, broadcast et télévision par câble. Opérateur mobile et fournisseur d'accès Internet. L'effectif du groupe est de 170 000 employés.","Télécommunications filaires (6110Z)
				Voir la classification Kompass"
"1641931815-1484","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","BULL SAS","https://fr.kompass.com/c/bull-sas/fra04rslg/","BULL SAS","5 ESP ANTON PHILIPS","5 ESP ANTON PHILIPS 

	                
	        14460 COLOMBELLES","http://www.bull.fr","2018","SAS, société par actions simplifiée","De 20 à 49 employés","L'établissement est en activité depuis 55 ans, spécialisé dans le domaine des activités informatiques, le groupe assure l'intégration et la gestion de systèmes hautes performances et de solutions de sécurité de bout en bout. Bull propose des offres permettant à ses clients de traiter toute l'information à leur disposition pour créer de nouveaux usages. Transformation de data en valeur pour les organisations.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931731-1456","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","TIBCO SERVICES (TIBCO)","https://fr.kompass.com/c/tibco-services/fra00cm3t/","TIBCO SERVICES
                                    TIBCO","ALL DES PAITIS BLANC 

	                ZONE ACTIVA 6","ALL DES PAITIS BLANC 

	                ZONE ACTIVA 6 

	                
	        14320 SAINT-ANDRE-SUR-ORNE","http://www.tibco.fr","2014","SAS, société par actions simplifiée","De 0 à 9 employés","Entreprise spécialisé dans le domaine de l'audit, conseil informatique, infogérance et hébergement en systèmes informatiques, gestion de réseau informatique, compétence technique, aisance de communication, conseil en création de site internet,  intégration, déploiement, services numérique et infrastructure télécom.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931785-1474","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","STELLAPPS S.A.S.","https://fr.kompass.com/c/stellapps-s-a-s/fra03cnb3/","STELLAPPS S.A.S.","2 RUE JEAN PERRIN 

	                INNOVAPARC - BAT A2 - 1ER ETAGE","2 RUE JEAN PERRIN 

	                INNOVAPARC - BAT A2 - 1ER ETAGE 

	                
	        14460 COLOMBELLES","null","2017","SAS, société par actions simplifiée","De 0 à 9 employés","La société STELLAPPS S.A.S., est localisée au 2 RUE JEAN PERRIN à Colombelles (14460) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2017 ayant comme SIRET le numéro 833315286 00017, recensée sous le naf : 

► Programmation informatique.



La société STELLAPPS S.A.S. est dirigée par Ravishankar Shiroor (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931626-1421","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","SUNERIS SOLUTION","https://fr.kompass.com/c/suneris-solution/fra0314jj/","SUNERIS SOLUTION","5 ESP ANTON PHILIPS","5 ESP ANTON PHILIPS 

	                
	        14460 COLOMBELLES","null","2017","SAS, société par actions simplifiée","De 0 à 9 employés","SUNERIS SOLUTION est une entreprise située à VELIZY VILLACOUBLAY. L'établissement est spécialisé dans les prestations de services dans le domaine informatique. La société intervient par exemple dans: la programmation et le conseil en informatique, connexion, ou réseaux; la maintenance informatique; l'infogérance...","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931827-1488","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","YOUSIGN","https://fr.kompass.com/c/yousign/fra05gvpm/","YOUSIGN","34 RUE MALFILATRE","34 RUE MALFILATRE 

	                
	        14000 CAEN","null","2019","SAS, société par actions simplifiée","De 0 à 9 employés","La société YOUSIGN, est installée au 34 RUE MALFILATRE à Caen (14000) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 sous le numéro 794513986 00040, recensée sous le naf : 

► Programmation informatique.



La société YOUSIGN est dirigée par Luc Pallavidino (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931770-1469","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","AFB FRANCE (AFB SHOP)","https://fr.kompass.com/c/afb-france/fra01xprt/","AFB FRANCE
                                    AFB SHOP","123 CRS CAFFARELLI","123 CRS CAFFARELLI 

	                
	        14000 CAEN","http://www.afb-group.fr","2016","SAS, société par actions simplifiée","De 0 à 9 employés","Société spécialisée dans le reconditionnement informatique qui consiste à  collecter auprès d'entreprises ou de collectivités des équipements en fin de cycle afin de leur donner une deuxième vie. AFB France propose des formations et des emplois durables à des personnes en situation de handicap.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931686-1441","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","ORANGE (SERVICES DIVERS)","https://fr.kompass.com/c/orange/fr5532299/","ORANGE
                                    SERVICES DIVERS","29 RUE DE L AVENIR","29 RUE DE L AVENIR 

	                
	        14650 CARPIQUET","http://www.orange.com","1990","SA à conseil d'administration (s.a.i.)","De 100 à 249 employés","Société en activité depuis 29 ans, spécialisée dans le domaine de la télécommunication à l'échelle mondiale avec une offre de gamme de services de télécommunication : téléphonie locale et internationale, téléphonie mobile, Internet et multimédia, transport de données, broadcast et télévision par câble. Opérateur mobile et fournisseur d'accès Internet. L'effectif du groupe est de 170 000 employés.","Télécommunications filaires (6110Z)
				Voir la classification Kompass"
"1641931605-1414","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","OUEST'OBJECT (ALTICAP)","https://fr.kompass.com/c/ouest-object/fr9460616/","OUEST'OBJECT
                                    ALTICAP","8 RUE DU QUADRANT","8 RUE DU QUADRANT 

	                
	        14123 FLEURY-SUR-ORNE","null","2012","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise OUEST'OBJECT, est implantée au 8 RUE DU QUADRANT à Fleury-sur-orne (14123) dans le département du Calvados.



Cette TPE est une societé anonyme par actions simplifiées fondée en 2012 sous le numéro 752431254 00016, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931749-1462","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-12/","HAXE DIRECT","https://fr.kompass.com/c/haxe-direct/fr3707163/","HAXE DIRECT","RUE SOPHIA ANTIPOLIS 

	                ZAC DE LA CITIS","RUE SOPHIA ANTIPOLIS 

	                ZAC DE LA CITIS 

	                
	        14200 HEROUVILLE-SAINT-CLAIR","http://www.haxe.fr","2014","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","HAXE DIRECT est une entreprise spécialisée dans la vente et la location d'équipements pour les professionnels de la distribution: bar, brasserie, boulangerie, pâtisserie, restauration rapide... L'établissement propose des: caisses enregistreuses, terminaux de point de vente, terminaux de paiement électronique, alarmes, doseurs, machines à café, distributeurs à boisson...","Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau (4666Z)
				Voir la classification Kompass"
